iter	Passed	Remaining
537	8973	74425
538	8988	74396
539	9005	74381
540	9020	74352
541	9035	74319
542	9052	74305
543	9068	74278
544	9084	74257
545	9103	74260
546	9117	74226
547	9134	74209
548	9150	74183
549	9165	74159
550	9181	74133
551	9196	74107
552	9211	74076
553	9226	74043
554	9241	74016
555	9259	74012
556	9275	73984
557	9292	73970
558	9306	73938
559	9321	73908
560	9337	73887
561	9355	73882
562	9372	73866
563	9388	73839
564	9403	73813
565	9421	73805
566	9437	73784
567	9453	73763
568	9469	73742
569	9486	73728
570	9501	73701
571	9516	73669
572	9532	73650
573	9549	73634
574	9564	73604
575	9581	73587
576	9596	73561
577	9612	73537
578	9627	73513
579	9643	73487
580	9658	73460
581	9678	73467
582	9695	73456
583	9712	73440
584	9727	73413
585	9743	73389
586	9759	73368
587	9777	73362
588	9792	73338
589	9810	73326
590	9827	73314
591	9842	73290
592	9858	73269
593	9876	73255
594	9893	73246
595	9908	73220
596	9924	73198
597	9939	73168
598	9956	73152
599	9973	73138
600	9989	73117
601	10005	73097
602	10021	73077
603	10037	73056
604	10053	73033
605	10069	73013
606	10085	72994
607	10100	72965
608	10116	72941
609	10134	72932
610	10152	72928
611	10169	72911
612	10185	72894
613	10201	72873
614	10220	72872
615	10237	72861
616	10253	72839
617	10269	72819
618	10285	72796
619	10299	72760
620	10314	72736
621	10330	72710
622	10345	72686
623	10359	72648
624	10375	72631
625	10390	72602
626	10405	72569
627	10418	72533
628	10433	72503
629	10448	72476
630	10464	72455
631	10480	72432
632	10495	72408
633	10510	72380
634	10525	72349
635	10540	72326
636	10556	72302
637	10571	72276
638	10586	72247
639	10600	72216
640	10614	72180
641	10631	72168
642	10646	72142
643	10663	72126
644	10678	72097
645	10692	72067
646	10706	72030
647	10719	71993
648	10734	71967
649	10749	71938
650	10764	71909
651	10779	71884
652	10793	71853
653	10806	71809
654	10821	71783
655	10836	71757
656	10850	71727
657	10865	71700
658	10880	71675
659	10896	71651
660	10911	71623
661	10925	71594
662	10940	71566
663	10954	71533
664	10971	71520
665	10986	71493
666	11000	71461
667	11016	71440
668	11030	71412
669	11046	71388
670	11062	71369
671	11079	71358
672	11093	71326
673	11108	71297
674	11122	71266
675	11138	71246
676	11153	71218
677	11168	71197
678	11183	71170
679	11197	71138
680	11214	71121
681	11232	71117
682	11248	71096
683	11263	71074
684	11279	71054
685	11294	71028
686	11308	70994
687	11325	70979
688	11340	70957
689	11355	70927
690	11375	70935
691	11393	70930
692	11409	70909
693	11424	70883
694	11442	70877
695	11456	70845
696	11473	70834
697	11489	70811
698	11505	70796
699	11523	70788
700	11540	70775
701	11559	70773
702	11576	70758
